Year,Position,Cup #,Voyage recovery,Time cup open (date),time cup close (date),cup midpoint (date),days cup open,Day of Year,Mass balance,Digest batch,Sample label,Sample ID,Sr88 sample ppm,Y89 sample ppm,Mo95 sample ppm,Mo98 sample ppm,Ag107 sample ppm,Ag109 sample ppm,Cd111 sample ppm,Cs133 sample ppm,Ba137 sample ppm,Ba138 sample ppm,La139 sample ppm,Ce140 sample ppm,Nd146 sample ppm,Tm169 sample ppm,Yb171 sample ppm,Re185 sample ppm,Re187 sample ppm,Tl205 sample ppm,Pb208 sample ppm,Th232 - ID sample ppm,Th232 sample ppm,Th229 sample ppm,U238 - ID sample ppm,U238 sample ppm,,Na23 sample ppm,Mg24 sample ppm,Al27 sample ppm,P31 sample ppm,S32 sample ppm,Ca42 sample ppm,Sc45 sample ppm,Ti47 sample ppm,Ti49 sample ppm,V51 sample ppm,Cr52 sample ppm,Mn55 sample ppm,Fe56 sample ppm,Co59 sample ppm,Ni60 sample ppm,Cu63 sample ppm,Zn66 sample ppm,Zn68 sample ppm,Sr88 DEMF,Y89 DEMF,Mo95 DEMF,Mo98 DEMF,Ag107 DEMF,Ag109 DEMF,Cd111 DEMF,Cs133 DEMF,Ba137 DEMF,Ba138 DEMF,La139 DEMF,Ce140 DEMF,Nd146 DEMF,Tm169 DEMF,Yb171 DEMF,Re185 DEMF,Re187 DEMF,Tl205 DEMF,Pb208 DEMF,Th232 - ID DEMF,Th232 DEMF,Th229 DEMF,U238 - ID DEMF,U238 DEMF,Na23 DEMF,Mg24 DEMF,Al27 DEMF,P31 DEMF,S32 DEMF,Ca42 DEMF,Sc45 DEMF,Ti47 DEMF,Ti49 DEMF,V51 DEMF,Cr52 DEMF,Mn55 DEMF,Fe56 DEMF,Co59 DEMF,Ni60 DEMF,Cu63 DEMF,Zn66 DEMF,Zn68 DEMF,Sr88 AEMF,Y89 AEMF,Mo95 AEMF,Mo98 AEMF,Ag107 AEMF,Ag109 AEMF,Cd111 AEMF,Cs133 AEMF,Ba137 AEMF,Ba138 AEMF,La139 AEMF,Ce140 AEMF,Nd146 AEMF,Tm169 AEMF,Yb171 AEMF,Re185 AEMF,Re187 AEMF,Tl205 AEMF,Pb208 AEMF,Th232 - ID AEMF,Th232 AEMF,Th229 AEMF,U238 - ID AEFM,U238 AEMF,Na23 AEMF,Mg24 AEMF,Al27 AEMF,P31 AEMF,S32 AEMF,Ca42 AEMF,Sc45 AEMF,Ti47 AEMF,Ti49 AEMF,V51 AEMF,Cr52 AEMF,Mn55 AEMF,Fe56 AEMF,Co59 AEMF,Ni60 AEMF,Cu63 AEMF,Zn66 AEMF,Zn68 AEMF,Lith_Ti_RG_Day,Lith_Al_RG_Day,Lith_Fe_RG_Day,Lith_Th_ID_RG_Day,Lith_Th_ICP_RG_Day,LithAv RandG as % of MF,Lith Av Daily RandG (mg m-2 d-1),LithAv daily linear calib FINAL
2010,47_1000,1,SS1103,19/9/2010,4/10/2010,26/9/2010,15,268.5,91.40974309,4,S98,SAZ_2010_47S_1000m_Cup1,1422.34,1.85,0.79,0.82,2.63,2.6,2.68,0.11,1764.15,1813.34,1.24,1.95,1.1,0.02,0.16,0,0,0.02,3.01,0.15,0.23,0,0.26,0.23,0,1733.53,1888.67,1401.23,1208.89,3165.51,264718.37,0.26,58.78,60.39,3.03,3.62,26.55,837.11,0.73,14.68,62.39,223.78,218.6,0.025168702,3.28E-05,1.40E-05,1.46E-05,4.65E-05,4.60E-05,4.75E-05,1.94E-06,0.031217131,0.03208748,2.19E-05,3.46E-05,1.95E-05,4.01E-07,2.80E-06,2.12E-08,2.10E-08,4.14E-07,5.32E-05,2.62E-06,4.02E-06,0,4.64E-06,4.04E-06,0.030675155,0.033420377,0.024795132,0.021391509,0.056014418,4.684254514,4.59E-06,0.001040041,0.001068615,5.37E-05,6.40E-05,0.000469782,0.014812811,1.30E-05,0.000259711,0.001103954,0.00395991,0.003868261,9.192868574,0.011977072,0.00511476,0.005320354,0.016974691,0.016794497,0.017332688,0.000707329,11.40205719,11.71995224,0.008016988,0.012630014,0.007136937,0.000146426,0.001022593,7.74E-06,7.67E-06,0.000151208,0.019445112,0.000955172,0.001469343,0,0.001696409,0.001476216,11.20410021,12.20679274,9.056421989,7.813248799,20.4592663,1710.923961,0.001674937,0.379874902,0.390311809,0.019596319,0.02338876,0.171587698,5.410379148,0.004731362,0.094859429,0.403219136,1.44635699,1.412882447,0.271141583,0.304208538,0.378105634,0.249058791,0.38312778,1.69892394,0.300628636,0.334145884
2010,47_1000,2,SS1103,4/10/2010,19/10/2010,11/10/2010,15,283.5,90.75877846,4,S99,SAZ_2010_47S_1000m_Cup2,1365.5,1.95,0.77,0.81,3.59,3.55,6.35,0.12,1786.7,1809.33,1.32,2.13,1.18,0.02,0.16,0,0,0.02,2.9,0.16,0.26,0,0.3,0.27,0,1502.11,1650.45,1615.11,1464.73,2858.7,253866.48,0.28,69.47,68.84,3.6,3.7,37.2,968.92,0.76,14.61,48.81,163.76,159.68,0.033716217,4.82E-05,1.89E-05,2.00E-05,8.87E-05,8.78E-05,0.000156696,3.08E-06,0.04411615,0.04467487,3.27E-05,5.25E-05,2.90E-05,5.58E-07,3.98E-06,1.71E-08,1.17E-08,4.78E-07,7.16E-05,4.02E-06,6.35E-06,0,7.37E-06,6.62E-06,0.03708927,0.040751972,0.039879392,0.036166286,0.070585323,6.268326128,6.97E-06,0.001715412,0.001699825,8.89E-05,9.13E-05,0.0009184,0.023923987,1.88E-05,0.000360842,0.001205134,0.004043525,0.003942725,12.31484817,0.017593793,0.006904353,0.007317835,0.03240123,0.032055481,0.057233171,0.001126672,16.11342376,16.31749617,0.01192723,0.019192383,0.010597801,0.000203642,0.001453828,6.24E-06,4.28E-06,0.000174424,0.026164912,0.001468414,0.002321077,0,0.002690824,0.002418029,13.5468559,14.88465792,14.56594785,13.20973613,25.78128934,2289.506118,0.002544198,0.626554078,0.620860953,0.032462765,0.0333309,0.335445474,8.738236268,0.006874692,0.131797613,0.440175067,1.476897548,1.440080384,0.447212657,0.489275533,0.61067372,0.382885531,0.605215555,1.95416745,0.48251186,0.538094366
2010,47_1000,3,SS1103,19/10/2010,3/11/2010,26/10/2010,15,298.5,93.56509489,4,S100,SAZ_2010_47S_1000m_Cup3,1263.25,2.01,0.64,0.66,1.78,1.76,2.89,0.17,1330.52,1351.75,1.42,2.18,1.29,0.02,0.17,0,0,0.02,2.27,0.19,0.3,0,0.35,0.31,0,1271.53,1662.48,2183.26,967.38,2383.14,249674.46,0.38,88.4,87.1,4.63,3.49,41.61,1235.52,0.74,18.76,33.45,46.44,45.02,0.112398309,0.000179149,5.69E-05,5.90E-05,0.000158661,0.000156774,0.000256958,1.48E-05,0.118382899,0.120272158,0.000126343,0.000193608,0.000115179,2.11E-06,1.54E-05,2.18E-07,2.16E-07,2.15E-06,0.000202195,1.65E-05,2.65E-05,0,3.08E-05,2.79E-05,0.11313489,0.147919239,0.19425596,0.086072533,0.212040371,22.21484427,3.35E-05,0.007865384,0.00774959,0.000411709,0.000310879,0.003702139,0.109931034,6.59E-05,0.001669611,0.002976548,0.004132291,0.004005482,41.0534824,0.065434013,0.020764767,0.021532181,0.057950927,0.057261528,0.093853817,0.005414888,43.23935385,43.92940581,0.046146757,0.070715161,0.042069271,0.000770599,0.005626644,7.95E-05,7.90E-05,0.00078652,0.073851688,0.006044609,0.009675471,0,0.011238524,0.010202471,41.32251844,54.02750211,70.9519893,31.43799259,77.44774561,8113.97187,0.01224201,2.872831468,2.830537704,0.150376589,0.113548662,1.352206341,40.15231029,0.024071654,0.60982532,1.0871841,1.509319299,1.463002183,2.050527863,2.383303354,2.806053757,1.57611786,2.522856679,2.477094477,2.204000708,2.440685413
2010,47_1000,4,SS1103,3/11/2010,18/11/2010,10/11/2010,15,313.5,91.58443665,4,S101,SAZ_2010_47S_1000m_Cup4,1435.39,2.27,0.65,0.66,1.24,1.24,8.71,0.14,1167.54,1182.97,1.56,1.98,1.36,0.03,0.17,0,0,0.02,2.1,0.17,0.28,0,0.4,0.36,0,1374.47,1892.42,1931.54,1040.38,2465.99,260992.58,0.39,64.48,67.41,4.38,3.02,31.83,1068.77,0.61,14.83,27.92,42.98,41.3,0.190608831,0.000300879,8.60E-05,8.76E-05,0.000165229,0.000164134,0.001156119,1.87E-05,0.155039974,0.157089417,0.00020703,0.000262736,0.000181082,3.51E-06,2.25E-05,3.05E-07,4.33E-07,2.97E-06,0.000279044,2.23E-05,3.68E-05,0,5.31E-05,4.80E-05,0.182518505,0.251298365,0.256494026,0.138155195,0.327464712,34.6578265,5.23E-05,0.008562507,0.008951432,0.000580974,0.000400724,0.004226172,0.141923956,8.09E-05,0.001969192,0.003707527,0.005707407,0.005484229,69.6198756,0.109896176,0.031396234,0.032004507,0.060350018,0.059949962,0.422272325,0.006814995,56.62835037,57.37690958,0.075617665,0.09596439,0.066140307,0.001282052,0.008202325,0.000111238,0.000158266,0.001085533,0.101920784,0.00815172,0.013426452,0,0.019411408,0.017522935,66.66488407,91.78672788,93.68444305,50.46118491,119.6064861,12658.77113,0.019097426,3.127455578,3.269510668,0.21220064,0.146364469,1.543609167,51.83772494,0.029559718,0.719247475,1.354174305,2.084630376,2.003114805,2.232269757,3.146894816,3.622691739,2.125542197,3.500916389,2.094886474,2.781849627,3.125693175
2010,47_1000,5,SS1103,18/11/2010,3/12/2010,25/11/2010,15,328.5,86.59234298,4,S102,SAZ_2010_47S_1000m_Cup5,1421.45,2.66,0.66,0.69,1.32,1.31,1.51,0.18,1321.99,1341.88,1.86,2.5,1.68,0.03,0.22,0.01,0.01,0.03,2.47,0.22,0.36,0,0.46,0.42,0,1349.18,2101.9,2467.54,1047.07,2562.4,248945.83,0.51,95.23,95.73,5.12,3.81,45.84,1307.63,0.82,18.41,35.27,39.78,38.98,0.141714896,0.000265149,6.55E-05,6.93E-05,0.000131109,0.000130987,0.000150921,1.80E-05,0.131798278,0.133781503,0.000185487,0.000249522,0.000167172,2.98E-06,2.16E-05,5.79E-07,5.16E-07,2.91E-06,0.000246358,2.22E-05,3.54E-05,0,4.60E-05,4.23E-05,0.134509702,0.209553918,0.246007058,0.10439016,0.255463801,24.81918791,5.11E-05,0.009493701,0.00954412,0.000510502,0.000380118,0.004569849,0.130366994,8.15E-05,0.001834998,0.003516682,0.003965974,0.003886275,51.76136572,0.096845672,0.023920529,0.025296694,0.047887446,0.047842991,0.055123909,0.006569641,48.13932096,48.86369397,0.067749062,0.091138067,0.061059586,0.001090108,0.007901351,0.000211541,0.000188626,0.001063049,0.089982243,0.008121921,0.012944068,0,0.016794002,0.015454796,49.12966876,76.53956848,89.85407794,38.12850603,93.30815326,9065.208384,0.018653606,3.467574115,3.485989985,0.18646068,0.13883803,1.669137266,47.61654452,0.029767297,0.670232896,1.284468251,1.44857205,1.41946191,2.47503462,3.018231446,3.327693542,2.117772244,3.375135856,2.742990305,2.734682963,3.049023866
2010,47_1000,6,SS1103,3/12/2010,18/12/2010,10/12/2010,15,343.5,90.63824716,4,S103,SAZ_2010_47S_1000m_Cup6,1854.76,2.83,0.7,0.71,1.64,1.6,9.79,0.23,1508.87,1540.81,1.98,2.91,1.75,0.03,0.22,0.01,0,0.04,3.11,0.26,0.43,0,0.72,0.66,0,1657.28,2588.14,3213.24,1203.33,3055.87,217416.13,0.64,126.79,126.81,6.97,4.68,62.23,1626.26,1.03,22.29,36.08,59.21,57.19,0.169118367,0.000258481,6.38E-05,6.52E-05,0.000149476,0.000145446,0.000893091,2.09E-05,0.13757984,0.140492516,0.000180132,0.000265515,0.000159218,2.93E-06,2.01E-05,4.67E-07,4.20E-07,3.53E-06,0.000283995,2.36E-05,3.95E-05,0,6.56E-05,6.05E-05,0.15111202,0.235988694,0.292986406,0.109720832,0.278637507,19.82420998,5.84E-05,0.011561026,0.01156273,0.00063577,0.000426673,0.005674113,0.148283549,9.43E-05,0.002032019,0.00329007,0.005399126,0.005214981,61.77048346,0.094410364,0.023291301,0.023812173,0.054596017,0.053124322,0.326201493,0.00763586,50.25103671,51.3148916,0.065793224,0.09697928,0.058154282,0.001069483,0.007341522,0.000170482,0.00015337,0.001288311,0.103729042,0.00861549,0.014425689,0,0.023956412,0.022104699,55.19366523,86.19487033,107.0132849,40.07553376,101.7723493,7240.792697,0.021332637,4.222664734,4.223287315,0.232214915,0.155842441,2.072469613,54.16056644,0.034453064,0.742194849,1.201697969,1.972030694,1.90477194,3.01399222,3.594615504,3.78502407,2.246469171,3.761465179,3.46566378,3.160025241,3.538774243
2010,47_1000,7,SS1103,18/12/2010,2/1/2011,25/12/2010,15,358.5,90.433273,4,S104,SAZ_2010_47S_1000m_Cup7,1365.72,2.51,0.8,0.83,1.94,1.95,12.5,0.11,1439.63,1466.66,1.72,2,1.53,0.03,0.2,0,0,0.02,2.18,0.15,0.26,0,0.6,0.56,0,1886.53,2375.38,1668.56,1270.64,3076.44,217392.45,0.47,66.22,61.93,4.31,2.85,23.47,846.5,0.6,13.86,35.73,63.52,62.2,0.084274234,0.000155155,4.91E-05,5.09E-05,0.000119732,0.000120535,0.000771122,6.97E-06,0.088834744,0.090502985,0.000106371,0.000123116,9.43E-05,1.76E-06,1.25E-05,2.59E-07,2.53E-07,1.38E-06,0.000134756,9.51E-06,1.63E-05,0,3.73E-05,3.46E-05,0.116411537,0.1465768,0.102961363,0.078406721,0.189836825,13.41456348,2.90E-05,0.004086126,0.003821309,0.000265935,0.000175666,0.001448106,0.052234716,3.70E-05,0.000855313,0.002204642,0.003919807,0.003837954,30.78116384,0.056670377,0.017924447,0.01859725,0.043732197,0.044025442,0.281652171,0.00254625,32.44689026,33.05621521,0.038852162,0.044968252,0.034460131,0.000644032,0.004552486,9.44E-05,9.25E-05,0.000502389,0.049219747,0.003472296,0.005954528,0,0.013617916,0.012632762,42.51931385,53.53717621,37.60663777,28.63805489,69.33790019,4899.66931,0.01060882,1.492457508,1.395733218,0.097132619,0.06416195,0.528920566,19.07872992,0.013527989,0.312403032,0.805245642,1.431709369,1.401812791,1.065264614,1.263220761,1.333321579,0.905393118,1.552629494,1.850367358,1.141800018,1.303609112
2010,47_1000,8,SS1103,2/1/2011,17/1/2011,9/1/2011,15,8.5,88.09740115,4,S105,SAZ_2010_47S_1000m_Cup8,13609.29,1.92,1.09,1.09,1.65,1.61,10.72,0.08,1045.2,1066.23,1.15,1.42,1.01,0.02,0.16,0,0,0.03,1.82,0.12,0.19,0,0.6,0.55,0,1658.23,2540.27,1233.76,1987.71,8808.67,193421.41,0.35,44.65,42.48,3.2,2.15,14.91,631.49,0.62,11.48,26.76,60.98,59.73,0.776740371,0.000109484,6.24E-05,6.23E-05,9.42E-05,9.19E-05,0.000611743,4.52E-06,0.05965386,0.060854113,6.58E-05,8.10E-05,5.76E-05,1.23E-06,9.03E-06,4.39E-08,-6.33E-09,1.53E-06,0.000103709,6.59E-06,1.08E-05,0,3.43E-05,3.16E-05,0.094642383,0.144983938,0.070416004,0.113447012,0.502748323,11.0393886,2.02E-05,0.002548225,0.002424463,0.000182737,0.000122475,0.000850957,0.036041719,3.56E-05,0.000655289,0.001527364,0.003480315,0.003409039,283.7044205,0.039989093,0.022791403,0.022759666,0.034397365,0.033561283,0.22343906,0.001649352,21.7885723,22.22696463,0.024047013,0.029592127,0.021050806,0.00044829,0.00329672,1.60E-05,-2.31E-06,0.000559371,0.03787955,0.002408672,0.003954279,0,0.01254098,0.011542487,34.56813047,52.95538341,25.71944563,41.43652108,183.6288251,4032.136687,0.007391833,0.930739207,0.885535266,0.066744693,0.044733831,0.310812055,13.16423798,0.012989513,0.239344444,0.557869673,1.271185045,1.24515147,0.664329495,0.863925616,0.919985903,0.62805576,1.031069042,1.347496834,0.769074193,0.869827514
2010,47_1000,9,SS1103,17/1/2011,1/2/2011,24/1/2011,15,23.5,91.23865189,4,S106,SAZ_2010_47S_1000m_Cup9,1889.29,1.78,1.45,1.5,1.18,1.16,6.94,0.08,944.55,962.01,1.14,1.4,1.03,0.02,0.16,0,0,0.04,1.71,0.11,0.18,0,0.47,0.43,0,1684.19,2062.77,1212.43,1393.26,3480.75,216843.38,0.3,45.68,45.11,2.97,1.97,13.26,617.53,0.59,13.24,25.29,44.1,44.15,0.164206064,0.000155061,0.000125812,0.000130583,0.000102624,0.000100387,0.00060353,6.61E-06,0.082094816,0.083612254,9.87E-05,0.000121631,8.95E-05,1.93E-06,1.39E-05,1.74E-07,8.96E-08,3.11E-06,0.00014883,9.53E-06,1.61E-05,0,4.05E-05,3.72E-05,0.146380043,0.179284451,0.105377366,0.121093857,0.302527329,18.84678774,2.57E-05,0.003970403,0.003920703,0.00025854,0.000171542,0.00115287,0.053672488,5.10E-05,0.001150832,0.002198229,0.003832696,0.003837579,59.97626498,0.056635892,0.045952667,0.047695449,0.03748341,0.036666386,0.2204393,0.002414826,29.9851317,30.53937572,0.03604267,0.044425845,0.032679432,0.000703758,0.005059203,6.35E-05,3.27E-05,0.001135678,0.054360006,0.00347963,0.005870186,0,0.014804143,0.013591889,53.46531058,65.48364563,38.48908294,44.22953126,110.498107,6883.789221,0.009391995,1.450189639,1.432036915,0.094431916,0.062655589,0.421085789,19.60387628,0.018610317,0.420341255,0.802903099,1.399892098,1.401675655,1.035095269,1.292862418,1.370021558,0.907305586,1.530637443,1.324662796,1.151321208,1.307154172
2010,47_1000,10,SS1103,1/2/2011,16/2/2011,8/2/2011,15,38.5,89.67571552,4,S107,SAZ_2010_47S_1000m_Cup10,1398.49,2.07,2.91,2.97,0.64,0.63,7.66,0.06,979.65,995.52,1.05,1.23,0.97,0.03,0.24,0,0,0.09,1.73,0.1,0.17,0,0.57,0.52,0,1216.01,2443.81,959.94,1338.53,4847.02,209344.3,0.28,34.19,34.61,4.18,1.93,11.82,512.97,1.07,19.07,20.96,29.29,29.48,0.310773727,0.000460178,0.000645899,0.000659401,0.000141124,0.000139262,0.001702262,1.27E-05,0.217699578,0.221224663,0.000234224,0.00027271,0.000215547,6.65E-06,5.28E-05,5.18E-07,5.20E-07,1.92E-05,0.000383745,2.32E-05,3.74E-05,0,0.000126298,0.000115056,0.270223041,0.543066519,0.213319169,0.297449817,1.077110202,46.5206893,6.18E-05,0.007597727,0.00769165,0.000929141,0.000428444,0.002627302,0.113993089,0.000238622,0.004237114,0.004657505,0.006509024,0.006550868,113.5101036,0.168080089,0.235914616,0.240846368,0.051545562,0.050865464,0.621751131,0.004652202,79.51477068,80.80230823,0.085550446,0.099607188,0.078728607,0.002428324,0.019293077,0.000189148,0.00019,0.007009596,0.140162706,0.008488319,0.01364785,0,0.046130513,0.042024195,98.69896576,198.3550459,77.91482631,108.6435458,393.4145012,16991.68177,0.022585084,2.775069699,2.809374994,0.339368737,0.156489222,0.959621985,41.63597574,0.087156811,1.547606058,1.701153754,2.377421181,2.392704603,1.980748889,2.617187604,2.90974007,2.213309731,3.558645302,1.093617207,2.430246573,2.766580466
