Cruise,Cast_no.,Station,Date,Time,Latitude (N) ,Longitude Û,Pressure (dbar),Depth (m),DFe [nmol/kg],DFe_QC_flag
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,40,39.66424014,0.16,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,100,99.14618595,0.18,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,150,148.7012803,0.11,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,200,198.2443989,0.15,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,250,247.7755593,0.23,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,300,297.2947791,0.19,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,500,495.2526007,0.26,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,750,742.4333012,0.724,3
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,1000,989.3198202,0.43,1
IN2019_V02,TMR 8,SOTS,27/3/2019,NA,-46.97316667,142.1801667,1250,1235.914299,0.47,1
