voyage,Date,Lat,Lon,CTD_no,Niskin_no,Depth,PN_uM,POC_uM,PN_umol/kg,POC_umol/kg,Total MV Chl a,Chl mg m-3,,,Oxygen (uM),Oxygen flag,NOx (uM),NOx flag,Phosphate (uM),Phosphate flag,Silicate (uM),Silicate flag,Ammonia (uM),Ammonia flag,Nitrite (uM),Nitrite flag
AA97_V06,26/3/1998,-51.01333,143.25333,86,,109.8,7.5,46,,,,,,,,,,,,,,,,,,
AA97_V06,26/3/1998,-51.01333,143.25333,86,,107.1,6.8,50,,,,,,,,,,,,,,,,,,
AA97_V06,26/3/1998,-51.01333,143.25333,86,,99.4,9.1,62,,,,,,,,,,,,,,,,,,
AA97_V06,26/3/1998,-51.01333,143.25333,86,,94.7,7.4,52,,,,,,,,,,,,,,,,,,
AA97_V06,26/3/1998,-51.01333,143.25333,86,,90.7,8.8,62,,,,,,,,,,,,,,,,,,
AA97_V06,26/3/1998,-51.01333,143.25333,86,,79.3,8.2,55,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,118.4,3.4,22,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,90.4,7.7,51,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,61,6.2,42,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,45.2,6.2,50,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,31.1,6.3,42,,,,,,,,,,,,,,,,,,
AA97_V06,27/3/1998,-50.3775,143.97316,92,,11.2,6.4,44,,,,,,,,,,,,,,,,,,
SS2010_V02,16/3/2010,-43.82983333,147.1092167,,,5,0.84,6.09,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,16/3/2010,-44.21698333,146.4982833,1,7,500,0.08,0.74,,,,,,,,,,,,,,,,,,
SS2010_V02,16/3/2010,-45.77495,143.7606333,,,5,2.03,12.2,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,17/3/2010,-46.05933333,143.2433333,,,5,1.35,7.87,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,17/3/2010,-46.51915,142.4729667,,,5,1.79,11.02,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,17/3/2010,-46.44268333,141.0891167,,,5,1.47,8.4,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.44268333,141.0891167,,,5,1.34,8.16,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.34918333,140.7146333,,,5,1.54,9.55,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,11,150,0.19,1.26,,,,,,,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,13,125,0.2,1.24,,,,,,,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,14,100,0.26,1.89,,,,,,,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,15,75,0.51,3.04,,,,,,,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,17,50,1.49,8.78,,,,,,,,,,,,,,,,,,
SS2010_V02,18/3/2010,-46.31943333,140.6620833,2,18,8.3,1.49,9.02,,,,,,,,,,,,,,,,,,
SS2010_V02,,,,,,5,1.09,6.55,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.7149,141.7149,,,5,1.1,6.63,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.67495,141.9609333,,,5,0.99,6.22,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.6454,141.9487833,,,5,1.22,7.45,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,9,208,0.32,1.78,,,,,,,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,11,133,0.25,1.53,,,,,,,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,14,109.5,0.95,5.43,,,,,,,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,15,83,0.95,5.41,,,,,,,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,17,58,1.02,5.78,,,,,,,,,,,,,,,,,,
SS2010_V02,19/3/2010,-46.65755,141.9338667,3,18,18,0.93,5.32,,,,,,,,,,,,,,,,,,
SS2010_V02,20/3/2010,-46.49303333,142.2095167,,,5,1.02,6.17,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,20/3/2010,-46.2354,142.8576333,,,5,1.28,8.04,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,20/3/2010,-45.9057,143.4691667,,,5,1.6,9.7,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,20/3/2010,-45.54383333,144.1260333,,,5,1.73,10.19,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,20/3/2010,-45.12778333,144.1277833,,,5,1.31,7.68,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,20/3/2010,-44.68535,145.6833167,,,5,1.05,6.32,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,21/3/2010,-44.37601667,146.2706667,,,5,1.65,9.73,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,21/3/2010,-44.27001667,146.6582,,,5,1.13,7.2,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,21/3/2010,-44.987,146.6582,,,5,1.24,8.51,,,,,,underway!,,,,,,,,,,,,
SS2010_V02,21/3/2010,-43.99033333,147.2568667,,,5,1.35,12.19,,,,,,underway!,,,,,,,,,,,,
